lemma_id,lemma_text,lemma_short_def
731,*ai)guptogenh/s,of Egyptian race
732,*ai)/gupto/nde,to Egypt
733,*ai)/guptos,the river Nile
735,ai)de/omai,to be ashamed to do
736,ai)de/simos,"exciting shame, venerable"
737,ai)/desis,respect
738,a)i/dhlos,"making unseen, annihilating, destroying"
739,ai)dh/mwn,"bashful, modest"
740,a)idh/s,"unseen, annihilated"
741,a)i/dios,"everlasting, eternal"
742,a)idno/s,"unseen, dark"
743,ai)doi=on,"the genitals, pudenda"
744,ai)doi=os,"regarded with reverence, august, venerable"
745,ai)do/frwn,"respectful in mind, compassionate"
746,a)idrei/h,"want of knowledge, ignorance"
747,a)/idris,"unknowing, ignorant"
748,a)i/drutos,"unsettled, vagabond"
749,*)aidwneu/s,
751,ai)e/nupnos,lulling in eternal sleep
752,ai)zh/ios,"strong, lusty, vigorous"
753,ai)zho/s,"strong, lusty, vigorous"
754,ai)/htos,"terrible, mighty"
755,ai)qa/lh,soot
756,ai)qali/wn,"swarthy, dusky"
757,ai)qalo/eis,"smoky, sooty"
758,ai)/qalos,soot
759,ai)qalo/w,to soil with soot
760,ai)/qe,would that
761,ai)qerembate/w,to walk in ether
762,ai)qe/rios,of
764,ai)qh/r,"ether, the brighter purer air, the sky"
765,*ai)qiopi/a,Ethiopia
766,*ai)qiopiko/s,Ethiopian
768,ai)=qos,"a burning heat, fire"
769,ai)/qousa,the corridor
771,ai)qrhgenh/s,"born in ether, sprung from ether"
772,ai)/qrh,"clear sky, fair weather"
773,ai)qri/a,in clear weather
774,ai)qria/w,to be clear
775,ai)qriokoite/w,to sleep in open air
776,ai)/qrios,"clear, bright, fair"
777,ai)=qros,the clear chill air
778,ai)/quia,a gull
779,ai)qukth/r,one that darts swiftly
780,ai)qu/ssw,"to put in rapid motion, stir up, kindle"
781,ai)/qwn,"fiery, burning, blazing"
782,ai)/qw,"to light up, kindle"
783,ai)ka/llw,"to flatter, wheedle, fondle"
784,ai)ke/lios,
